Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59686715,Defending Elysium (The Skyward Series),Brandon Sanderson,"Sanderson, Brandon",,"=""1938570278""","=""""",4,4.05,"Dragonsteel Entertainment, LLC",Kindle Edition,78,2021,2008,2022/01/21,2022/01/21,,,read,,,,1,0
57640065,"Reaper (Cradle, #10)",Will Wight,"Wight, Will",,"=""""","=""""",5,4.68,Hidden Gnome Publishing,Kindle Edition,465,2021,2021,2021/11/07,2021/11/07,,,read,,,,1,0
59515764,"Dreadgod (Cradle, #11)",Will Wight,"Wight, Will",,"=""""","=""""",5,4.64,Hidden Gnome Publishing,Kindle Edition,464,2022,2022,2022/07/10,2022/07/09,,,read,,,,1,0
57842903,"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,"Lee, Fonda",,"=""0356510581""","=""""",4,4.64,Orbit,Kindle Edition,736,2021,2021,2022/02/11,2022/02/11,,,read,,,,1,0
58167188,"Cytonic (Skyward, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.07,Delacorte Press,Kindle Edition,416,2021,2021,2022/01/17,2022/01/17,,,read,,,,1,0
34626431,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.71,O'Reilly Media,Kindle Edition,1051,2017,2015,2021/11/07,2021/11/07,,,read,,,,1,0
51679954,"Legendborn (Legendborn, #1)",Tracy Deonn,"Deonn, Tracy",,"=""""","=""""",5,4.34,Margaret K. McElderry Books,Kindle Edition,511,2020,2020,2021/08/06,2021/08/06,,,read,,,,1,0
43786788,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""""","=""""",4,4.45,Gollancz,Kindle Edition,480,2019,2019,2021/05/05,2019/12/31,,,read,,,,1,0
36315977,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",3,3.93,Henry Holt and Co.,Kindle Edition,369,2012,2012,2021/06/30,2021/06/30,,,read,,,,1,0
57773654,"The Rage of Dragons (The Burning, #1)",Evan Winter,"Winter, Evan",,"=""""","=""""",5,4.31,Orbit,Kindle Edition,545,2019,2017,2021/07/15,2021/07/15,,,read,,,,1,0
52282290,"The Fires of Vengeance (The Burning, #2)",Evan Winter,"Winter, Evan",,"=""0356512975""","=""9780356512976""",3,4.39,Orbit,Kindle Edition,544,2020,2020,2021/07/26,2021/07/26,,,read,,,,1,0
55595995,"Bloodline (Cradle, #9)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.51,Hidden Gnome Publishing,Kindle Edition,378,2021,2021,2021/04/10,2021/04/07,,,read,,,,1,0
54924956,"RabbitMQ Essentials: Build distributed and scalable applications with message queuing using RabbitMQ, 2nd Edition",Lovisa Johansson,"Johansson, Lovisa",David Dossot,"=""1789135427""","=""9781789135428""",0,4.20,Packt Publishing,Kindle Edition,154,2020,,2021/01/23,2021/01/14,,,read,,,,1,0
34750993,Learning Spring Boot: Using Spring Boot to Build Lightning-Fast Aps,Greg L. Turnquist,"Turnquist, Greg L.",,"=""""","=""""",0,3.59,Packt Publishing,Kindle Edition,662,2017,,2021/01/12,2021/01/02,,,read,,,,1,0
11570030,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",3,4.13,Gollancz,Kindle Edition,292,2010,1993,2020/02/16,2020/02/16,,,read,,,,1,0
36373298,"Trail of Lightning (The Sixth World, #1)",Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1534413499""","=""9781534413498""",0,3.96,Saga Press,Hardcover,287,2018,2018,,2020/12/13,to-read,to-read (#23),to-read,,,,0,0
51701518,"Lies of the Beholder (Legion, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",3,4.12,Tor Books,Kindle Edition,113,2020,2018,2020/12/12,2020/12/11,,,read,,,,1,0
24967005,Ísfólkið 8 - Dóttir böðulsins (Sagan um Ísfólkið),Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",2,3.89,Katrin Agency,Kindle Edition,190,2014,1982,2020/11/17,2020/12/10,,,read,,,,1,0
11413982,"Draugahöllin (Sagan um Ísfólkið, #7)",Margit Sandemo,"Sandemo, Margit",,"=""""","=""9789979795117""",0,3.72,Jentas,Paperback,254,2007,1982,2020/11/03,2020/12/10,,,read,,,,1,0
24063055,Ísfólkið 6 - Illur arfur (Sagan um Ísfólkið),Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",0,3.81,Katrin Agency,Kindle Edition,189,2014,1982,2020/11/01,2020/12/10,,,read,,,,1,0
24967013,Ísfólkið 5 - Dauðasyndin (Sagan um Ísfólkið),Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",0,3.91,Katrin Agency,Kindle Edition,196,2014,1982,2020/10/28,2020/12/10,,,read,,,,1,0
24966985,Ísfólkið 4 - Vonin (Sagan um Ísfólkið),Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",0,3.83,Katrin Agency,Kindle Edition,199,2014,1982,2020/10/27,2020/12/10,,,read,,,,1,0
24737761,Ísfólkið 3 - Hyldýpið (Sagan um Ísfólkið),Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",0,3.96,Katrin Agency,Kindle Edition,206,2014,1982,2020/10/25,2020/12/10,,,read,,,,1,0
25067114,"Álagafjötrar (Sagan um Ísfólkið, #1)",Margit Sandemo,"Sandemo, Margit",,"=""""","=""""",0,3.77,Katrin Agency,Kindle Edition,198,2014,1982,2020/10/18,2020/12/10,,,read,,,,1,0
42419826,"Battle Ground (The Dresden Files, #17)",Jim Butcher,"Butcher, Jim",,"=""""","=""""",4,4.42,Ace,Kindle Edition,432,2020,2020,2020/10/09,2020/10/03,,,read,,,,1,0
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.62,Tor Books,Kindle Edition,1213,2020,2020,2020/12/10,2020/11/28,,,read,,,,1,0
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""193857026X""","=""""",4,4.41,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,2020/11/26,2020/11/16,,,read,,,,1,0
55423083,"Wintersteel (Cradle, #8)",Will Wight,"Wight, Will",,"=""""","=""""",5,4.70,Hidden Gnome Publishing,Paperback,540,2020,2020,2020/10/11,2020/10/09,,,read,,,,1,0
53168664,Blood Tally (Valkyrie Collections #2),Brian  McClellan,"McClellan, Brian",,"=""""","=""""",0,4.24,,Kindle Edition,202,2020,2020,2020/09/23,2020/09/23,,,read,,,,1,0
45860014,"Crownbreaker (Spellslinger, #6)",Sebastien de Castell,"Castell, Sebastien de",,"=""1471405508""","=""9781471405501""",0,4.39,Hot Key Books,Kindle Edition,546,2019,2019,2020/09/07,2020/09/02,,,read,,,,1,0
34913716,"Shadowblack (Spellslinger, #2)",Sebastien de Castell,"Castell, Sebastien de",,"=""""","=""""",0,4.12,Hot Key Books,Kindle Edition,273,2017,2017,2020/08/15,2020/08/06,,,read,,,,1,0
42805490,"Queenslayer (Spellslinger, #5)",Sebastien de Castell,"Castell, Sebastien de",,"=""1471405478""","=""9781471405471""",0,4.18,Hot Key Books,Kindle Edition,365,2019,2019,2020/09/02,2020/09/02,,,read,,,,1,0
